NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Study Type
NCT06045338,Mind Body Intervention for Long COVID-19,https://clinicaltrials.gov/study/NCT06045338,RECRUITING,Long COVID|Post-Acute Sequelae of COVID-19|COVID Long-Haul,BEHAVIORAL: Mind Body Intervention #1,Beth Israel Deaconess Medical Center,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06168032,COVID-19 Vaccine Effectiveness Against Recurrent Infection Among Lung Cancer Patients and Biomarker Research,https://clinicaltrials.gov/study/NCT06168032,RECRUITING,COVID-19 Recurrent|Lung Cancer|Vaccination|Antibody|Chemotherapy|Immune Checkpoint Inhibitor,BIOLOGICAL: Any Chinese government-recommended COVID-19 booster vaccine,Peking Union Medical College Hospital,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05932797,Multimodal Long Covid19,https://clinicaltrials.gov/study/NCT05932797,ACTIVE_NOT_RECRUITING,Long COVID-19 Syndrome,OTHER: Multimodal intervention in Long Covid19,Universidad de Magallanes,Teaching Assistance and Research Center of the University of Magallanes CADI-UMAG|Clinical Hospital Dr. Lautaro Navarro Avaria,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05911906,"An Open-label, Clinical Feasibility Study of the Efficacy of Remdesivir for Long-COVID.",https://clinicaltrials.gov/study/NCT05911906,RECRUITING,SARS-CoV-2 Infection|COVID-19,DRUG: Remdesivir,University of Derby,University of Exeter|University of Plymouth|University Hospitals of Derby and Burton NHS Foundation Trust|Aston University|Royal Devon and Exeter NHS Foundation Trust,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05877508,Anti-SARS-CoV-2 Monoclonal Antibodies for Long COVID (COVID-19),https://clinicaltrials.gov/study/NCT05877508,ACTIVE_NOT_RECRUITING,Long COVID|Post-Acute Sequela of COVID-19|Post-Acute COVID-19,DRUG: AER002|OTHER: Placebo,"Michael Peluso, MD",Aerium Therapeutics|Patient-Led Research Collaborative|PolyBio Research Foundation,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05876377,Use and Effectiveness of COVID-19 Vaccines Using State Vaccine Registries and Insurance Claims Data,https://clinicaltrials.gov/study/NCT05876377,ACTIVE_NOT_RECRUITING,SARS-CoV-2|COVID-19|Post-Acute COVID-19 Syndrome,BIOLOGICAL: Pfizer-BioNTech COVID-19 mRNA vaccine,Pfizer,,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05855382,"Prevalence of Persistent COVID-19 in Punta Arenas, Magallanes and Chilean Antarctic Region",https://clinicaltrials.gov/study/NCT05855382,RECRUITING,COVID-19,OTHER: Persistent COVID-19,Universidad de Magallanes,Centro Asistencial Docente e Investigación de la Universidad Magallanes (CADI-UMAG)|University of Chile|Universidad de Santiago de Chile,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05852873,PAxlovid loNg cOvid-19 pRevention triAl With recruitMent In the Community in Norway,https://clinicaltrials.gov/study/NCT05852873,RECRUITING,"Post COVID-19 Condition, Unspecified|SARS-CoV2 Infection|COVID-19",DRUG: Nirmatrelvir/ritonavir|DRUG: Placebo,Haukeland University Hospital,University of Bergen|Oslo University Hospital|University of Oslo|St. Olavs Hospital|Norwegian University of Science and Technology,ALL,ADULT,INTERVENTIONAL
NCT05822193,"Incidence, Associated Factors, and Burden of Post COVID-19 Condition in Brazil",https://clinicaltrials.gov/study/NCT05822193,RECRUITING,Post-Acute COVID-19 Syndrome,OTHER: Multiple exposures,Inova Medical,Merck Sharp & Dohme LLC,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05815693,Cognitive-behavioral Therapy for Mental Disorder in COVID-19 Survivors,https://clinicaltrials.gov/study/NCT05815693,RECRUITING,Post Acute COVID-19 Syndrome,BEHAVIORAL: mindfulness-based stress reduction (MBSR) and cognitive behavioral therapy (CBT),Azienda Socio Sanitaria Territoriale di Lecco,,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06208943,Neural and Cognitive Consequences of COVID-19 Survival,https://clinicaltrials.gov/study/NCT06208943,RECRUITING,COVID Long-Haul|COVID-19|COVID-19 Pandemic|Brain Fog|Memory Deficits|Concentration Ability Impaired|Fatigue,OTHER: cross-sectional MRI and EEG assessments (NO INTERVENTION),San Francisco Veterans Affairs Medical Center,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05787379,Care for Veterans Post-COVID-19,https://clinicaltrials.gov/study/NCT05787379,RECRUITING,Post-Acute COVID-19 Syndrome,BEHAVIORAL: Concordant Care Training|BEHAVIORAL: Education Packet Training,VA Office of Research and Development,,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05747534,AT1001 for the Treatment of Long COVID,https://clinicaltrials.gov/study/NCT05747534,RECRUITING,Long COVID|Long COVID-19|Post Acute COVID-19 Syndrome|Post Acute Sequelae of COVID-19,DRUG: Larazotide Acetate|DRUG: Placebo,Massachusetts General Hospital,,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT05731570,Cognitive Rehabilitation for People With Cognitive Covid19,https://clinicaltrials.gov/study/NCT05731570,ACTIVE_NOT_RECRUITING,Long Covid19,BEHAVIORAL: Cognitive rehabilitation,"University College, London",Bangor University|St George's University Hospitals NHS Foundation Trust|University of Brighton|University Hospital Southampton NHS Foundation Trust|Greater Manchester Mental Health NHS Foundation Trust,ALL,ADULT,INTERVENTIONAL
NCT05705193,Brain-Training Treatment for Long COVID in Older Adults,https://clinicaltrials.gov/study/NCT05705193,RECRUITING,Post-Acute COVID-19 Syndrome,OTHER: NeuroFlex (computerized gamified tasks),UConn Health,National Institute on Aging (NIA),ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05676008,A Study of Positive Emotions With Long COVID-19,https://clinicaltrials.gov/study/NCT05676008,ACTIVE_NOT_RECRUITING,Post-Acute COVID-19 Syndrome,BEHAVIORAL: Microdosing of mindfulness,"University of California, Davis",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05668039,Enhanced External Counterpulsation to Treat Long COVID-19 Fatigue,https://clinicaltrials.gov/study/NCT05668039,RECRUITING,Post-Acute COVID-19 Syndrome,PROCEDURE: Enhanced external counterpulsation,Sheba Medical Center,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05615415,Neuropsychiatric Post-Acute Sequelae of SARS-CoV-2 (PASC) Using TSPO Positron Emission Tomography (PET) and MRI,https://clinicaltrials.gov/study/NCT05615415,ACTIVE_NOT_RECRUITING,Neuropsychiatric Post-Acute Sequelae of SARS-CoV-2 Infection,DRUG: PET Tracer|DRUG: MRI Tracer|DEVICE: 3T PET/MRI,NYU Langone Health,,ALL,ADULT,OBSERVATIONAL
NCT05610436,"Post-Covid Condition Cohort: Evolution of Symptomatology, Patient Profile and Associated Prognostic Factors",https://clinicaltrials.gov/study/NCT05610436,RECRUITING,Long COVID|Post-Acute COVID-19|Post-Acute COVID19 Syndrome,,"Central Hospital, Nancy, France",,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05582512,Clinical Characteristics and Long Term Impact on Pediatric COVID-19 in Taiwan,https://clinicaltrials.gov/study/NCT05582512,RECRUITING,Long Covid19|COVID-19 Pneumonia|Multisystem Inflammatory Syndrome in Children,OTHER: sequelae tracking,National Taiwan University Hospital,,ALL,"CHILD, ADULT",OBSERVATIONAL
NCT05530317,CArdiac REhabilitation for Building Exertional heArt Rate for Chronotropic Incompetence in Long COVID-19,https://clinicaltrials.gov/study/NCT05530317,RECRUITING,Long COVID|COVID-19,BEHAVIORAL: Cardiac Rehabilitation,"University of California, San Francisco",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05732116,PTSD of Surgeons or Anesthesiologists on Prognosis of Surgical Patients,https://clinicaltrials.gov/study/NCT05732116,RECRUITING,Post Traumatic Stress Disorder|Postoperative Complications|COVID-19,OTHER: PTSD,Xijing Hospital,Ningbo No.2 Hospital,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05524532,Effects of Immulina TM Supplements with PASC Patients,https://clinicaltrials.gov/study/NCT05524532,RECRUITING,Post Acute COVID-19 Syndrome,DRUG: Immulina TM|DIETARY_SUPPLEMENT: Placebo,University of Mississippi Medical Center,National Institute of General Medical Sciences (NIGMS),ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05513560,RECLAIM: Recovering From COVID-19 Lingering Symptoms Adaptive Integrative Medicine,https://clinicaltrials.gov/study/NCT05513560,ACTIVE_NOT_RECRUITING,Long COVID|Post COVID Condition|Post Acute Sequelae of COVID-19,DRUG: Ibudilast|DRUG: Pentoxifylline|OTHER: Placebo,"University Health Network, Toronto",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05508295,Long COVID-19 and MAB Study,https://clinicaltrials.gov/study/NCT05508295,RECRUITING,COVID-19,,MultiCare Health System Research Institute,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05441657,Visualizing Regional Lung Ventilation in Patients With Postacute-COVID-19,https://clinicaltrials.gov/study/NCT05441657,ACTIVE_NOT_RECRUITING,Ventilatory Defect|COVID-19|Post-acute COVID-19 Syndrome|Electric Impedance Tomography,,Jena University Hospital,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05379556,"LOng COvid COmorbidities: Andrological, Reproductive, Sexual Dysfunctions in Patients Recovered From COVID-19",https://clinicaltrials.gov/study/NCT05379556,RECRUITING,Long Covid-19,DIAGNOSTIC_TEST: Assessment of andrological profile of LO-COCO-ANDRO male patients|DIAGNOSTIC_TEST: Assessment of reproductive function of LO-COCO-ANDRO male patients|DIAGNOSTIC_TEST: Assessment of sexual function of LO-COCO-ANDRO male patients|DIAGNOSTIC_TEST: Assessment of olfactory function of LO-COCO-ANDRO male and female patients,Federico II University,Azienda Sanitaria Locale Napoli 2 Nord,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05293366,"LOng COvid COmorbidities: Endocrine,Metabolic,Neuropsychiatric,Muscle,Cardiovascular,Pulmonary,Dermatologic Dysfunctions",https://clinicaltrials.gov/study/NCT05293366,RECRUITING,Long Covid-19,DIAGNOSTIC_TEST: Assessments of endocrinological phenotypes of LO-COCO patients|DIAGNOSTIC_TEST: Assessment of muscular phenotypes of LO-COCO patients|DIAGNOSTIC_TEST: Assessment of neuropsychiatric phenotypes of LO-COCO patients|PROCEDURE: Muscle biopsy|DIAGNOSTIC_TEST: Assessment of pulmonary phenotypes of LO-COCO patients|DIAGNOSTIC_TEST: Assessment of cardiological phenotypes of LO-COCO patients|DIAGNOSTIC_TEST: Assessment of vascular phenotypes of LO-COCO patients|DIAGNOSTIC_TEST: Assessment of dermatological phenotypes of LO-COCO patients|PROCEDURE: Tissue biopsy,Federico II University,Azienda Sanitaria Locale Napoli 2 Nord,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05238623,Imbalances of Regional Pulmonary Ventilation in Patients With Post-acute-COVID-19,https://clinicaltrials.gov/study/NCT05238623,ACTIVE_NOT_RECRUITING,COVID-19 Pneumonia|Post-acute COVID-19 Syndrome|Electric Impedance,DIAGNOSTIC_TEST: additional EIT Measurement,Jena University Hospital,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05228691,Prevalence of Long COVID-19 in the Canary Islands,https://clinicaltrials.gov/study/NCT05228691,RECRUITING,COVID-19,OTHER: Evaluation and Education,University of Las Palmas de Gran Canaria,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05156593,'Long COVID-19' in Suffolk and North Essex: Defining the Disease and Optimising Outcomes,https://clinicaltrials.gov/study/NCT05156593,ACTIVE_NOT_RECRUITING,Covid19,,East Suffolk and North Essex NHS Foundation Trust,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05092516,Home-based Brain Stimulation Treatment for Post-acute Sequelae of COVID-19 (PASC),https://clinicaltrials.gov/study/NCT05092516,ACTIVE_NOT_RECRUITING,Dysexecutive Syndrome|Post-Acute Sequelae of COVID-19,DEVICE: Active tDCS|DEVICE: Sham tDCS,Massachusetts General Hospital,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05040659,Longitudinal At Home Smell Testing to Detect Infection by SARS-CoV-2,https://clinicaltrials.gov/study/NCT05040659,RECRUITING,Anosmia|Asymptomatic COVID-19|COVID-19 Respiratory Infection|Influenza|Healthy,DEVICE: AROMHA Longitudinal Smell Test,Massachusetts General Hospital,National Institute on Deafness and Other Communication Disorders (NIDCD),ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04786353,Long COVID Kids DK - Investigating Long-term Covid-19,https://clinicaltrials.gov/study/NCT04786353,ACTIVE_NOT_RECRUITING,Covid-19,OTHER: LongCOVIDkidsDK,"Rigshospitalet, Denmark",,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04791436,Oral and Olfactory Complications of Recovered COVID-19 Patients,https://clinicaltrials.gov/study/NCT04791436,RECRUITING,Oral Complication|Dysgeusia|Olfactory Disorder,DIAGNOSTIC_TEST: Gustatory and olfactory function test|DIAGNOSTIC_TEST: Molecular assessment of saliva,University of Giessen,Masaryk University|University of Kiel,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06932237,Immune-mediated Pathogenic Mechanisms of Neuro-PASC in Veterans,https://clinicaltrials.gov/study/NCT06932237,RECRUITING,Neuro-PASC|Long COVID,,VA Office of Research and Development,James H. Quillen Department of Veterans Affairs Medical Center,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06883513,Osteopathic Manipulative Therapy Effects on Post-Acute Sequelae of COVID-19 (PASC) or Long COVID,https://clinicaltrials.gov/study/NCT06883513,RECRUITING,Long-COVID|PASC|Long COVID Syndrome,OTHER: Osteopathic Manipulative Therapy Long-COVID protocol|OTHER: Osteopathic Manipulative Therapy NOT Long-COVID treatment protocol,University of Louisville,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06879535,Long-term Symptomatic Follow-up of Patients with Long COVID Syndrome,https://clinicaltrials.gov/study/NCT06879535,ACTIVE_NOT_RECRUITING,Long COVID,,Hospital del Rio Hortega,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06847191,NE3107 in Adults With Neurological Symptoms of Long COVID,https://clinicaltrials.gov/study/NCT06847191,RECRUITING,Long COVID,DRUG: NE3107|DRUG: Placebo,BioVie Inc.,,ALL,ADULT,INTERVENTIONAL
NCT06825819,Dysbiosis & Long COVID,https://clinicaltrials.gov/study/NCT06825819,RECRUITING,COVID-19,BIOLOGICAL: Subjects with and without Long COVID,University of Chicago,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06792214,Antiviral Strategies in the Prevention of Long-term Cardiovascular Outcomes Following COVID-19: The paxloviD/Remdesivir Effectiveness For the prEvention of loNg coviD Clinical Trial,https://clinicaltrials.gov/study/NCT06792214,RECRUITING,SARS CoV-2 Post-Acute Sequelae,DRUG: Nirmatrelvir/ritonavir|DRUG: Remdesivir,"Mount Sinai Hospital, Canada",Unity Health Toronto|Kingston Health Sciences Centre|Niagara Health System,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06900114,Disease Burden Transition of Mucormycosis in Hematologic Malignancies Population Across Covid 19 Era: a Single-center Comparative Analysis From China,https://clinicaltrials.gov/study/NCT06900114,ACTIVE_NOT_RECRUITING,Mucormycosis|Hematologic Malignancies|COVID-19,,"Institute of Hematology & Blood Diseases Hospital, China",,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06544382,Rehabilitation and Return to Everyday Life for Patients With Long COVID,https://clinicaltrials.gov/study/NCT06544382,ACTIVE_NOT_RECRUITING,Long COVID,OTHER: The Long COVID Rehabilitation Intervention|OTHER: Usual care,"Defactum, Central Denmark Region","Aarhus University Hospital|VIA University College|University of Aarhus|Aarhus Municipality, Denmark",ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06522750,Periodic Fasting for Treatment of Long Covid in Adults: a Pilot Study,https://clinicaltrials.gov/study/NCT06522750,RECRUITING,Long Covid|Chronic Inflammation,OTHER: 7-day ambulatory caloric restriction intervention using the Buchinger-Wilhelmi method,University of Luxembourg,,ALL,ADULT,INTERVENTIONAL
NCT06511063,Antiviral Clinical Trial for Long Covid-19,https://clinicaltrials.gov/study/NCT06511063,RECRUITING,Long Covid,DRUG: tenofovir disoproxil/emtricitabine|DRUG: Selzentry|DRUG: Placebo,Icahn School of Medicine at Mount Sinai,Yale University|PolyBio Research Foundation,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06503874,Improving Attention in Individuals With Long COVID-19,https://clinicaltrials.gov/study/NCT06503874,RECRUITING,Long Covid,OTHER: Attention Training|OTHER: Music Group,Shirley Ryan AbilityLab,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06476496,Pain Relief With Integrative Medicine (PRIMe)?: Feasibility of Acupuncture for Long COVID,https://clinicaltrials.gov/study/NCT06476496,ACTIVE_NOT_RECRUITING,Long COVID|Pain,PROCEDURE: Acupuncture,University of Washington,National Center for Complementary and Integrative Health (NCCIH),ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06437223,Study of Xiflam™ Treatment in Patients Post COVID-19 Infection Suffering From What is Known as Long COVID (LC),https://clinicaltrials.gov/study/NCT06437223,RECRUITING,Long COVID,DRUG: Tonabersat|DRUG: Placebo,Inflammx Therapeutics Inc,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06391970,Digital Cognition Study During Long-COVID,https://clinicaltrials.gov/study/NCT06391970,RECRUITING,"COVID-19, Long Haul",DEVICE: Cognitive screening,Luxembourg Institute of Health,ViewMind,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06319209,Timing of Surgery and the Evolution of Postoperative Outcomes in Breast Cancer Patients Undergoing Surgical Intervention Following Recovery From SARS-CoV-2 Infection,https://clinicaltrials.gov/study/NCT06319209,ACTIVE_NOT_RECRUITING,Breast Cancer|COVID-19|Postoperative Complications,OTHER: Preoperative resolved COVID-19,Fujian Medical University Union Hospital,,FEMALE,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06279936,Neurobiological Underpinnings of Neuropsychological Consequences in Long COVID,https://clinicaltrials.gov/study/NCT06279936,ACTIVE_NOT_RECRUITING,Long COVID,OTHER: Neuropsychological battery|OTHER: Surveys and symptom severity questionnaires|OTHER: Blood withdrawal|OTHER: Saliva swabs,Universiteit Antwerpen,UZA Foundation,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06255600,High-definition Transcranial Direct Current Stimulation and Chlorella Pyrenoidosa to Reduce Cardiovascular Risk,https://clinicaltrials.gov/study/NCT06255600,RECRUITING,Cardiovascular Diseases|Long Covid19,OTHER: High Definition-transcranial Direct Current Stimulation|DIETARY_SUPPLEMENT: Chlorella Pyrenoidosa,Federal University of Paraíba,City University of New York,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06248151,Acute Cardiovascular Responses to a Single Exercise Session in Patients With Post-COVID-19 Syndrome,https://clinicaltrials.gov/study/NCT06248151,RECRUITING,Post-Acute COVID-19 Syndrome,BEHAVIORAL: Exercise session|BEHAVIORAL: Control session,University of Nove de Julho,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06223971,Long COVID-19 [11C]CPPC Study,https://clinicaltrials.gov/study/NCT06223971,RECRUITING,COVID Long-Haul,DRUG: [11C]CPPC Injection|DRUG: [11C]CPPC Injection,Johns Hopkins University,Radiological Society of North America,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06599658,COVID-19 Booster and IIV Schedule in Immunocompromised Hosts,https://clinicaltrials.gov/study/NCT06599658,RECRUITING,COVID 19|Influenza|Rheumatoid Arthritis (RA)|Systemic Lupus Erthematosus|Inflammatory Bowel Disease|Solid Organ Transplant Recipients|Immunocompromised Host|People Living With HIV,BIOLOGICAL: Inactivated influenza vaccine (IIV) at baseline|BIOLOGICAL: COVID-19 Vaccines at a 3-month interval|BIOLOGICAL: Inactivated influenza vaccine at Month 1|BIOLOGICAL: COVID-19 Vaccines at a 6-month interval,McGill University Health Centre/Research Institute of the McGill University Health Centre,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06189066,Long COVID Ultrasound Trial,https://clinicaltrials.gov/study/NCT06189066,ACTIVE_NOT_RECRUITING,Long Covid,DEVICE: Splenic Ultrasound,SecondWave Systems Inc.,University of Minnesota|MCDC (United States Department of Defense),ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06168006,Exercise Training Using an App on Physical Cardiovascular Function Individuals With Post-covid-19 Syndrome,https://clinicaltrials.gov/study/NCT06168006,RECRUITING,Post-Acute COVID-19 Syndrome,BEHAVIORAL: Exercise|BEHAVIORAL: Control,University of Nove de Julho,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06142253,Water-based Activity to Enhance Recovery in Long COVID-19,https://clinicaltrials.gov/study/NCT06142253,RECRUITING,Long COVID,BEHAVIORAL: WATER+CT|BEHAVIORAL: Usual Care,VA Office of Research and Development,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06142240,Efficacy of Two Therapeutic Exercise Modalities for Patients With Persistent COVID,https://clinicaltrials.gov/study/NCT06142240,RECRUITING,Persistent COVID-19,OTHER: exercise programe,Facultat de ciencies de la Salut Universitat Ramon Llull,,ALL,ADULT,INTERVENTIONAL
NCT06118112,Living With Long COVID: LONGCOVID-EXPERIENCE,https://clinicaltrials.gov/study/NCT06118112,RECRUITING,"Long COVID|Experience, Life",,Corporacion Parc Tauli,Universitat Autonoma de Barcelona,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06074848,tDCS in the Management of Post-COVID Disorders,https://clinicaltrials.gov/study/NCT06074848,RECRUITING,Long COVID,DEVICE: Transcranial Direct Current Stimulation (tDCS)|BEHAVIORAL: Motor Training|BEHAVIORAL: Cognitive Training,Universidade Federal de Pernambuco,São Paulo State University,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05999435,Study of LAU-7b for the Treatment of Long COVID in Adults,https://clinicaltrials.gov/study/NCT05999435,ACTIVE_NOT_RECRUITING,Long COVID,"DRUG: LAU-7b for 3 cycles|DRUG: LAU-7b for 1 cycle, then placebo|OTHER: Placebo for 3 cycles",Laurent Pharmaceuticals Inc.,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05977179,Dietary Intervention to Mitigate Post-Acute COVID-19 Syndrome,https://clinicaltrials.gov/study/NCT05977179,RECRUITING,Post-Acute COVID-19 Syndrome|Fatigue,OTHER: Dietary intervention to mitigate Post-Acute COVID-19 Syndrome|OTHER: Attention Control,"University of Maryland, Baltimore",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05975034,Investigation of the Use of a Probiotic Supplement in People With Long COVID,https://clinicaltrials.gov/study/NCT05975034,RECRUITING,Long COVID,DIETARY_SUPPLEMENT: Probiotic|DIETARY_SUPPLEMENT: Placebo,Sheffield Hallam University,Symprove UK|Biomesight,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05967039,Assessment of Functional Capacity in Long-COVID,https://clinicaltrials.gov/study/NCT05967039,ACTIVE_NOT_RECRUITING,Post-COVID-19 Syndrome|Long COVID,OTHER: Physiotherapy,Centro Universitário Augusto Motta,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05954325,Immunoadsorption vs. Sham Treatment in Post COVID-19 Patients With Chronic Fatigue Syndrome,https://clinicaltrials.gov/study/NCT05954325,RECRUITING,Fatigue|Post-Acute COVID-19 Syndrome,PROCEDURE: Immunoadsorption vs. sham immunoadsorption,Hannover Medical School,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05931497,Sauna for Long Covid,https://clinicaltrials.gov/study/NCT05931497,RECRUITING,Long COVID,DEVICE: whole body hyperthermia,Massachusetts General Hospital,"University of California, San Francisco",ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05926505,Safety and Efficacy of Anakinra Treatment for Patients With Post Acute Covid Syndrome,https://clinicaltrials.gov/study/NCT05926505,RECRUITING,Post-Acute COVID-19 Syndrome|Post-Acute COVID-19|Long COVID,DRUG: Placebo|DRUG: Anakinra 149 MG/ML Prefilled Syringe [Kineret],Hellenic Institute for the Study of Sepsis,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05894629,Effects of an Active Coping Program in Patients With Persistent Post-Covid Pain.,https://clinicaltrials.gov/study/NCT05894629,ACTIVE_NOT_RECRUITING,Long COVID|Pain,BEHAVIORAL: Pain Neuroscience Education (PNE)+ Therapeutic Exercise (TE)|BEHAVIORAL: Active Comparator: Usual treatment,University of Valladolid,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05894616,Home Monitoring and Molecular Phenotyping of Patients With Post-COVID With Focus on Lung Involvement,https://clinicaltrials.gov/study/NCT05894616,RECRUITING,Long COVID,,Karolinska Institutet,"Michael Runold (Clinical lead), MD, PhD|Kristina Piontkovskaya, MD, PhD|Björn Nordlund, RN, PhD|Angelica Lindén Hirschberg, MD, PhD|Tobias Granberg, MD, PhD|Karolinska University Hospital|Swedish Heart Lung Foundation|The Swedish Research Council|AsthmaTuner AB",ALL,ADULT,OBSERVATIONAL
NCT05890547,Recurrent Salivary Gland Infections in Covid-19,https://clinicaltrials.gov/study/NCT05890547,ACTIVE_NOT_RECRUITING,Recurrent Salivary Gland Infections in Covid-19,,Benha University,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05890508,Electro-acupuncture for Long Covid Neuropsychiatric Symptoms,https://clinicaltrials.gov/study/NCT05890508,RECRUITING,Long Covid19|Neuropsychiatric Symptoms|Electro-acupuncture,DEVICE: Acupuncture|DEVICE: Sham-acupuncture,Hong Kong Baptist University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05886842,Reliability (Test-retest) of 30 Seconds Sit-to-stand and Timed Up and Go in Adults With Long Covid,https://clinicaltrials.gov/study/NCT05886842,RECRUITING,Long COVID,OTHER: Test-retest,European University Cyprus,Eden Resort Wellness Rehabilitation Center,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05874037,Fluvoxamine for Long COVID-19,https://clinicaltrials.gov/study/NCT05874037,ACTIVE_NOT_RECRUITING,Long COVID,DRUG: Fluvoxamine,Washington University School of Medicine,Balvi COVID Fund|BJH Townley Fund,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05846126,Digital Multimodal Rehabilitation for People With Post-acute COVID-19 Syndrome.,https://clinicaltrials.gov/study/NCT05846126,RECRUITING,Post-COVID Syndrome,BEHAVIORAL: RehabCovid_Telematic|BEHAVIORAL: RehabCovid_ImmersiveVR|BEHAVIORAL: Control_Condition,Consorci Sanitari de Terrassa,University of Barcelona|Universitat de Girona|Unitat Assistencial i Preventiva de l'Esport- Centre d'Alt rendiment|Universitat Politècnica de Catalunya|Corporación Fisiogestión,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05836402,Long COVID-19 Syndrome Lifestyle Intervention Study,https://clinicaltrials.gov/study/NCT05836402,RECRUITING,Long COVID-19 Syndrome,DIETARY_SUPPLEMENT: Low carbohydrate diet intervention,University of Southern California,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
